ts,elapsed_s,target,queue_depth,queue_ratio,max_queue_size,workers,processed_completed,processed_failed,processing_count,processing_sum
1780593592.487,0.000,old,3.0,0.75,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593592.487,0.000,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593593.014,0.528,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593593.014,0.528,new,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1780593593.534,1.048,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593593.534,1.048,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593594.054,1.568,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593594.054,1.568,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593594.576,2.090,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593594.576,2.090,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593595.098,2.612,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593595.098,2.612,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593595.619,3.133,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593595.619,3.133,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593596.145,3.659,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593596.145,3.659,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593596.667,4.180,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593596.667,4.180,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593597.189,4.703,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593597.189,4.703,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593597.711,5.225,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593597.711,5.225,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593598.234,5.747,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593598.234,5.747,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593598.756,6.270,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593598.756,6.270,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593599.282,6.795,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593599.282,6.795,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593599.802,7.316,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593599.802,7.316,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593600.323,7.837,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593600.323,7.837,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593600.846,8.360,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593600.846,8.360,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593601.366,8.880,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593601.366,8.880,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593601.886,9.400,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593601.886,9.400,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593602.408,9.922,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593602.408,9.922,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593602.929,10.443,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593602.929,10.443,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593603.450,10.964,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593603.450,10.964,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593603.972,11.485,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593603.972,11.485,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593604.492,12.006,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593604.492,12.006,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593605.013,12.527,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593605.013,12.527,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593605.535,13.049,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593605.535,13.049,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593606.055,13.569,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593606.055,13.569,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593606.577,14.091,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593606.577,14.091,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593607.097,14.611,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593607.097,14.611,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593607.619,15.132,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593607.619,15.132,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593608.139,15.652,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593608.139,15.652,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593608.659,16.173,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593608.659,16.173,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593609.182,16.696,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593609.182,16.696,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593609.701,17.215,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593609.701,17.215,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593610.224,17.738,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593610.224,17.738,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593610.749,18.263,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593610.749,18.263,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593611.273,18.787,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593611.273,18.787,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593611.792,19.306,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593611.792,19.306,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
1780593612.312,19.826,old,4.0,1.0,4.0,1.0,0.0,7.0,7.0,239.52848686595098
1780593612.312,19.826,new,3.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0
